family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
map_coloring,medium,map_coloring_medium_0,iterated_greedy,5,4.770001396536827e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_1,greedy,4,7.499998901039362e-06,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_1,dsatur,4,4.650000482797623e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_1,welsh_powell,4,2.7900008717551827e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_1,smallest_last,4,0.0001109000004362315,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_1,largest_first,4,1.1299998732283711e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,medium,map_coloring_medium_1,iterated_greedy,5,4.569999873638153e-05,True,,18,44,0.2875816993464052,4.888888888888889,"{""regions"": 18}"
map_coloring,large,map_coloring_large_0,greedy,5,9.899988071992993e-06,True,,24,62,0.2246376811594203,5.166666666666667,"{""regions"": 24}"
map_coloring,large,map_coloring_large_0,dsatur,5,5.900001269765198e-05,True,,24,62,0.2246376811594203,5.166666666666667,"{""regions"": 24}"
map_coloring,large,map_coloring_large_0,welsh_powell,5,3.860000288113952e-05,True,,24,62,0.2246376811594203,5.166666666666667,"{""regions"": 24}"
map_coloring,large,map_coloring_large_0,smallest_last,5,0.00014990000636316836,True,,24,62,0.2246376811594203,5.166666666666667,"{""regions"": 24}"
map_coloring,large,map_coloring_large_0,largest_first,4,1.4499993994832039e-05,True,,24,62,0.2246376811594203,5.166666666666667,"{""regions"": 24}"
map_coloring,large,map_coloring_large_0,iterated_greedy,5,5.980001878924668e-05,True,,24,62,0.2246376811594203,5.166666666666667,"{""regions"": 24}"
futoshiki,small,futoshiki_small_0,greedy,8,2.2199994418770075e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_0,dsatur,5,0.0001280000142287463,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_0,welsh_powell,8,7.430001278407872e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_0,smallest_last,8,0.00024930000654421747,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_0,largest_first,8,2.1299987565726042e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_0,iterated_greedy,5,9.670000872574747e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_1,greedy,8,1.7200014553964138e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_1,dsatur,5,0.00010530001600272954,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_1,welsh_powell,8,6.919997395016253e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_1,smallest_last,8,0.00041539999074302614,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_1,largest_first,8,2.1799991372972727e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,small,futoshiki_small_1,iterated_greedy,6,9.600000339560211e-05,True,,25,100,0.3333333333333333,8.0,"{""size"": 5, ""num_inequalities"": 5}"
futoshiki,medium,futoshiki_medium_0,greedy,8,2.5599991204217076e-05,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_0,dsatur,6,0.0001742999884299934,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_0,welsh_powell,8,0.00010619999375194311,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_0,smallest_last,8,0.0003979999746661633,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_0,largest_first,8,3.0399998649954796e-05,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_0,iterated_greedy,7,0.0001398000167682767,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_1,greedy,8,2.5199988158419728e-05,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
futoshiki,medium,futoshiki_medium_1,dsatur,6,0.0001674999948590994,True,,36,180,0.2857142857142857,10.0,"{""size"": 6, ""num_inequalities"": 6}"
